,date,item,category,price,promotion,units_sold,sales_7d_avg,day_of_week,is_weekend,is_holiday,brand,discount,stock_available,stockout_flag
2,2023-10-01,Diaper,Baby Care,220,0,45,,Sunday,1,0,Pampers,0.12,51,0
5,2023-10-02,Diaper,Baby Care,200,0,51,45.0,Monday,0,0,Pampers,0.2,52,0
8,2023-10-03,Diaper,Baby Care,200,0,45,48.0,Tuesday,0,0,Pampers,0.2,51,0
11,2023-10-04,Diaper,Baby Care,200,0,55,47.0,Wednesday,0,1,Pampers,0.2,63,0
14,2023-10-05,Diaper,Baby Care,250,0,53,49.0,Thursday,0,0,Pampers,0.0,57,0
17,2023-10-06,Diaper,Baby Care,250,0,50,49.8,Friday,0,0,Pampers,0.0,64,0
20,2023-10-07,Diaper,Baby Care,250,0,45,49.833333333333336,Saturday,1,0,Pampers,0.0,62,0
23,2023-10-08,Diaper,Baby Care,250,1,55,49.142857142857146,Sunday,1,0,Pampers,0.0,58,0
26,2023-10-09,Diaper,Baby Care,220,0,50,50.57142857142857,Monday,0,0,Pampers,0.12,68,0
29,2023-10-10,Diaper,Baby Care,220,1,57,50.42857142857143,Tuesday,0,0,Pampers,0.12,76,0
32,2023-10-11,Diaper,Baby Care,220,0,51,52.142857142857146,Wednesday,0,0,Pampers,0.12,57,0
35,2023-10-12,Diaper,Baby Care,220,0,49,51.57142857142857,Thursday,0,0,Pampers,0.12,56,0
38,2023-10-13,Diaper,Baby Care,220,0,45,51.0,Friday,0,1,Pampers,0.12,61,0
41,2023-10-14,Diaper,Baby Care,220,1,56,50.285714285714285,Saturday,1,0,Pampers,0.12,68,0
44,2023-10-15,Diaper,Baby Care,250,0,54,51.857142857142854,Sunday,1,0,Pampers,0.0,64,0
47,2023-10-16,Diaper,Baby Care,220,0,51,51.714285714285715,Monday,0,0,Pampers,0.12,51,1
50,2023-10-17,Diaper,Baby Care,220,1,55,51.857142857142854,Tuesday,0,0,Pampers,0.12,56,0
53,2023-10-18,Diaper,Baby Care,250,1,62,51.57142857142857,Wednesday,0,0,Pampers,0.0,78,0
56,2023-10-19,Diaper,Baby Care,220,0,46,53.142857142857146,Thursday,0,1,Pampers,0.12,50,0
59,2023-10-20,Diaper,Baby Care,200,0,54,52.714285714285715,Friday,0,0,Pampers,0.2,59,0
62,2023-10-21,Diaper,Baby Care,200,0,51,54.0,Saturday,1,0,Pampers,0.2,57,0
65,2023-10-22,Diaper,Baby Care,200,1,63,53.285714285714285,Sunday,1,0,Pampers,0.2,77,0
68,2023-10-23,Diaper,Baby Care,200,0,53,54.57142857142857,Monday,0,0,Pampers,0.2,71,0
71,2023-10-24,Diaper,Baby Care,250,0,53,54.857142857142854,Tuesday,0,0,Pampers,0.0,68,0
74,2023-10-25,Diaper,Baby Care,200,0,50,54.57142857142857,Wednesday,0,0,Pampers,0.2,62,0
77,2023-10-26,Diaper,Baby Care,250,0,50,52.857142857142854,Thursday,0,0,Pampers,0.0,54,0
80,2023-10-27,Diaper,Baby Care,200,0,47,53.42857142857143,Friday,0,0,Pampers,0.2,49,0
83,2023-10-28,Diaper,Baby Care,200,0,50,52.42857142857143,Saturday,1,0,Pampers,0.2,52,0
86,2023-10-29,Diaper,Baby Care,220,0,51,52.285714285714285,Sunday,1,1,Pampers,0.12,69,0
89,2023-10-30,Diaper,Baby Care,200,1,65,50.57142857142857,Monday,0,0,Pampers,0.2,78,0
92,2023-10-31,Diaper,Baby Care,200,0,46,52.285714285714285,Tuesday,0,0,Pampers,0.2,61,0
95,2023-11-01,Diaper,Baby Care,220,0,50,51.285714285714285,Wednesday,0,0,Pampers,0.12,66,0
98,2023-11-02,Diaper,Baby Care,200,1,60,51.285714285714285,Thursday,0,0,Pampers,0.2,63,0
101,2023-11-03,Diaper,Baby Care,250,0,48,52.714285714285715,Friday,0,1,Pampers,0.0,60,0
104,2023-11-04,Diaper,Baby Care,250,0,45,52.857142857142854,Saturday,1,0,Pampers,0.0,52,0
107,2023-11-05,Diaper,Baby Care,220,1,61,52.142857142857146,Sunday,1,0,Pampers,0.12,79,0
110,2023-11-06,Diaper,Baby Care,200,0,51,53.57142857142857,Monday,0,0,Pampers,0.2,55,0
113,2023-11-07,Diaper,Baby Care,220,0,55,51.57142857142857,Tuesday,0,0,Pampers,0.12,56,0
