date,item,category,price,promotion,units_sold,sales_7d_avg,day_of_week,is_weekend,is_holiday,brand,discount,stock_available,stockout_flag,sales_lag_1,sales_lag_3,sales_lag_7,sales_30d_avg,sales_30d_trend,month
2023-10-01,0,0,220,0,45,0.0,6,1,0,2,0.12,51,0,0.0,0.0,0.0,0.0,0.0,10
2023-10-02,0,0,200,0,51,45.0,0,0,0,2,0.2,52,0,45.0,0.0,0.0,45.0,0.0,10
2023-10-03,0,0,200,0,45,48.0,1,0,0,2,0.2,51,0,51.0,0.0,0.0,48.0,0.0,10
2023-10-04,0,0,200,0,55,47.0,2,0,1,2,0.2,63,0,45.0,45.0,0.0,47.0,0.0,10
2023-10-05,0,0,250,0,53,49.0,3,0,0,2,0.0,57,0,55.0,51.0,0.0,49.0,0.0,10
2023-10-06,0,0,250,0,50,49.8,4,0,0,2,0.0,64,0,53.0,45.0,0.0,49.8,0.0,10
2023-10-07,0,0,250,0,45,49.833333333333336,5,1,0,2,0.0,62,0,50.0,55.0,0.0,49.833333333333336,0.0,10
2023-10-08,0,0,250,1,55,49.142857142857146,6,1,0,2,0.0,58,0,45.0,53.0,45.0,49.142857142857146,0.0,10
2023-10-09,0,0,220,0,50,50.57142857142857,0,0,0,2,0.12,68,0,55.0,50.0,51.0,49.875,-0.6964285714285694,10
2023-10-10,0,0,220,1,57,50.42857142857143,1,0,0,2,0.12,76,0,50.0,45.0,45.0,49.888888888888886,-0.5396825396825449,10
2023-10-11,0,0,220,0,51,52.142857142857146,2,0,0,2,0.12,57,0,57.0,55.0,55.0,50.6,-1.5428571428571445,10
2023-10-12,0,0,220,0,49,51.57142857142857,3,0,0,2,0.12,56,0,51.0,50.0,53.0,50.63636363636363,-0.9350649350649363,10
2023-10-13,0,0,220,0,45,51.0,4,0,1,2,0.12,61,0,49.0,57.0,50.0,50.5,-0.5,10
2023-10-14,0,0,220,1,56,50.285714285714285,5,1,0,2,0.12,68,0,45.0,51.0,45.0,50.07692307692308,-0.2087912087912045,10
2023-10-15,0,0,250,0,54,51.85714285714285,6,1,0,2,0.0,64,0,56.0,49.0,55.0,50.5,-1.357142857142847,10
2023-10-16,0,0,220,0,51,51.71428571428572,0,0,0,2,0.12,51,1,54.0,45.0,50.0,50.733333333333334,-0.9809523809523881,10
2023-10-17,0,0,220,1,55,51.85714285714285,1,0,0,2,0.12,56,0,51.0,56.0,57.0,50.75,-1.107142857142847,10
2023-10-18,0,0,250,1,62,51.57142857142857,2,0,0,2,0.0,78,0,55.0,54.0,51.0,51.0,-0.5714285714285694,10
2023-10-19,0,0,220,0,46,53.142857142857146,3,0,1,2,0.12,50,0,62.0,51.0,49.0,51.611111111111114,-1.5317460317460316,10
2023-10-20,0,0,200,0,54,52.71428571428572,4,0,0,2,0.2,59,0,46.0,55.0,45.0,51.31578947368421,-1.39849624060151,10
2023-10-21,0,0,200,0,51,54.0,5,1,0,2,0.2,57,0,54.0,62.0,56.0,51.45,-2.549999999999997,10
2023-10-22,0,0,200,1,63,53.285714285714285,6,1,0,2,0.2,77,0,51.0,46.0,54.0,51.42857142857143,-1.857142857142854,10
2023-10-23,0,0,200,0,53,54.57142857142857,0,0,0,2,0.2,71,0,63.0,54.0,51.0,51.95454545454545,-2.616883116883116,10
2023-10-24,0,0,250,0,53,54.85714285714285,1,0,0,2,0.0,68,0,53.0,51.0,55.0,52.0,-2.857142857142847,10
2023-10-25,0,0,200,0,50,54.57142857142857,2,0,0,2,0.2,62,0,53.0,63.0,62.0,52.041666666666664,-2.529761904761905,10
2023-10-26,0,0,250,0,50,52.85714285714285,3,0,0,2,0.0,54,0,50.0,53.0,46.0,51.96,-0.8971428571428461,10
2023-10-27,0,0,200,0,47,53.42857142857143,4,0,0,2,0.2,49,0,50.0,53.0,54.0,51.88461538461539,-1.5439560439560438,10
2023-10-28,0,0,200,0,50,52.42857142857143,5,1,0,2,0.2,52,0,47.0,50.0,51.0,51.7037037037037,-0.7248677248677282,10
2023-10-29,0,0,220,0,51,52.285714285714285,6,1,1,2,0.12,69,0,50.0,50.0,63.0,51.642857142857146,-0.6428571428571388,10
2023-10-30,0,0,200,1,65,50.57142857142857,0,0,0,2,0.2,78,0,51.0,47.0,53.0,51.62068965517241,1.0492610837438434,10
2023-10-31,0,0,200,0,46,52.285714285714285,1,0,0,2,0.2,61,0,65.0,50.0,53.0,52.06666666666667,-0.21904761904761472,10
2023-11-01,0,0,220,0,50,51.285714285714285,2,0,0,2,0.12,66,0,46.0,51.0,50.0,52.1,0.8142857142857167,11
2023-11-02,0,0,200,1,60,51.285714285714285,3,0,0,2,0.2,63,0,50.0,65.0,50.0,52.06666666666667,0.7809523809523853,11
2023-11-03,0,0,250,0,48,52.71428571428572,4,0,1,2,0.0,60,0,60.0,46.0,47.0,52.56666666666667,-0.14761904761905242,11
2023-11-04,0,0,250,0,45,52.85714285714285,5,1,0,2,0.0,52,0,48.0,50.0,50.0,52.333333333333336,-0.5238095238095113,11
2023-11-05,0,0,220,1,61,52.142857142857146,6,1,0,2,0.12,79,0,45.0,60.0,51.0,52.06666666666667,-0.07619047619047592,11
2023-11-06,0,0,200,0,51,53.57142857142857,0,0,0,2,0.2,55,0,61.0,48.0,65.0,52.43333333333333,-1.1380952380952394,11
2023-11-07,0,0,220,0,55,51.57142857142857,1,0,0,2,0.12,56,0,51.0,45.0,46.0,52.63333333333333,1.0619047619047635,11
2023-11-08,0,0,250,0,46,52.85714285714285,2,0,0,2,0.0,60,0,55.0,61.0,50.0,52.63333333333333,-0.22380952380951413,11
2023-11-09,0,0,200,0,46,52.285714285714285,3,0,0,2,0.2,47,0,46.0,51.0,60.0,52.5,0.2142857142857153,11
2023-11-10,0,0,250,0,45,50.285714285714285,4,0,0,2,0.0,55,0,46.0,55.0,48.0,52.13333333333333,1.8476190476190482,11
